ID,Name,Age,Email,Join Date,Salary,Department
0008fab3-6dd9-4c36-8ea1-183d8dbd9228,Kevin Stone,61.0,nancyortega@gmail.com,2021-10-19,139842.0,Engineering
000e34f7-8b09-469d-bb06-dc80c99ff254,Steven Mora,88.0,richard72@hotmail.com,1900-01-01,68845.0,Marketing
000ea181-5552-4a36-b151-1d57483b5a31,Natalie Chapman,27.0,aliciawright@yahoo.com,2021-05-22,56616.0,Support
000ebe72-241a-4c74-9bd5-f0b1c0195760,Felicia Simmons,74.0,mlewis@hotmail.com,1983-06-09,62610.0,HR
002a244f-c467-4bec-9ab9-0eea2d1e3626,Travis Garcia,84.0,unknown@domain.com,2020-02-17,49203.0,HR
003c7fd4-950e-4b77-b5f8-d7ba82442be2,Catherine Smith,43.0,unknown@domain.com,2022-04-04,73783.0,Sales
003cece6-e9cb-4236-a180-1b88ed6572d4,Unknown,34.0,unknown@domain.com,2022-11-10,33037.19,Sales
0046a36f-075e-4ebc-81e4-f3edfcb9106c,Jimmy Dunlap,25.0,unknown@domain.com,2021-08-31,32688.0,Engineering
0053781e-61aa-423e-ae39-adc1ee24f24c,Ronald Morgan,43.0,unknown@domain.com,2022-01-02,140100.0,Marketing
00566a37-cbec-4389-9ae9-8f55cac914cd,Connor,75.0,catherinegraham@hotmail.com,2023-03-19,91365.0,Sales
006b89a6-e51c-42b9-baac-ab7e476b53aa,Unknown,54.0,kennethpark@hall.com,2023-03-30,100970.61,HR
006cd23b-581e-4927-b884-c71287f22c72,Elizabeth Williams,38.0,hrichards@yahoo.com,2020-10-07,110276.0,Support
0072da89-71b4-4ae9-b59d-9e77fec1f2bc,Molly Walker,46.0,unknown@domain.com,1999-11-09,65655.0,Sales
00735eb0-1a59-48af-8563-5a2c067717cd,Heather Larson,31.0,unknown@domain.com,1989-11-06,92881.86,Marketing
0074dbd5-10d0-463f-9b10-d8473bea04ba,Unknown,22.0,unknown@domain.com,2023-03-01,89347.0,HR
00793135-7451-414b-90c1-a542072d2e6e,Brandon Arias,59.0,nathaniel66@yahoo.com,2022-04-10,106864.0,Sales
007c0c99-5440-4028-a144-6afdb52487a9,Unknown,37.0,jacobrivera@yahoo.com,1972-11-14,111714.0,HR
